site,date,ACCUMULATED PRECIPITATION,SWE,AIR TEMP,DISCHARGE,ROS
817:WA:SNTL,2018-03-31,63.3,31.9,44.06,247.0,0.0
817:WA:SNTL,2019-01-01,31.5,15.2,31.1,249.0,0.0
817:WA:SNTL,2019-01-02,31.6,15.2,35.6,225.0,1.0
817:WA:SNTL,2019-01-03,33.0,15.9,42.08,336.0,1.0
817:WA:SNTL,2019-01-04,34.0,16.1,36.68,1020.0,1.0
817:WA:SNTL,2019-01-05,34.0,16.0,36.14,967.0,1.0
817:WA:SNTL,2019-01-06,34.6,16.6,33.98,651.0,1.0
817:WA:SNTL,2019-01-07,34.7,16.7,27.68,525.0,0.0
817:WA:SNTL,2019-01-08,34.8,16.9,27.86,421.0,0.0
817:WA:SNTL,2019-01-09,35.4,17.5,35.06,354.0,1.0
817:WA:SNTL,2019-01-10,35.9,17.9,35.96,342.0,1.0
817:WA:SNTL,2019-01-11,35.9,18.0,39.38,342.0,1.0
817:WA:SNTL,2019-01-12,35.9,18.0,40.64,326.0,1.0
817:WA:SNTL,2019-01-13,35.9,17.9,40.46,297.0,1.0
817:WA:SNTL,2019-01-14,35.8,18.0,35.78,273.0,1.0
817:WA:SNTL,2019-01-15,35.9,18.0,41.0,254.0,1.0
817:WA:SNTL,2019-01-16,35.9,18.0,36.86,237.0,1.0
817:WA:SNTL,2019-01-17,36.0,18.0,36.68,223.0,1.0
817:WA:SNTL,2019-01-18,36.1,18.1,36.32,230.0,1.0
817:WA:SNTL,2019-01-19,37.0,19.0,34.34,257.0,1.0
817:WA:SNTL,2019-01-20,37.0,19.1,32.72,254.0,0.0
817:WA:SNTL,2019-01-21,37.0,19.1,29.12,239.0,0.0
817:WA:SNTL,2019-01-22,37.1,19.2,34.34,220.0,1.0
817:WA:SNTL,2019-01-23,38.5,20.5,36.14,220.0,1.0
817:WA:SNTL,2019-01-24,38.5,20.5,36.68,209.0,1.0
817:WA:SNTL,2019-01-25,38.6,20.5,36.86,194.0,0.0
817:WA:SNTL,2019-01-26,38.5,20.4,38.12,185.0,1.0
817:WA:SNTL,2019-01-27,38.5,20.4,39.56,177.0,1.0
817:WA:SNTL,2019-01-28,38.3,20.4,33.8,169.0,0.0
817:WA:SNTL,2019-01-29,38.3,20.4,33.44,165.0,1.0
817:WA:SNTL,2019-01-30,38.3,20.4,36.32,158.0,1.0
817:WA:SNTL,2019-01-31,38.4,20.3,37.22,152.0,1.0
817:WA:SNTL,2019-02-01,38.7,20.3,37.94,189.0,1.0
817:WA:SNTL,2019-02-02,39.1,20.7,38.3,265.0,1.0
817:WA:SNTL,2019-02-03,39.1,20.8,29.84,265.0,0.0
817:WA:SNTL,2019-02-04,39.1,20.9,24.08,247.0,0.0
817:WA:SNTL,2019-02-05,39.0,21.0,19.4,216.0,0.0
817:WA:SNTL,2019-02-06,39.0,21.0,21.74,195.0,0.0
817:WA:SNTL,2019-02-07,39.1,21.0,28.94,178.0,0.0
817:WA:SNTL,2019-02-08,39.3,21.2,23.9,169.0,0.0
817:WA:SNTL,2019-02-09,39.7,21.4,17.06,160.0,0.0
817:WA:SNTL,2019-02-10,39.7,21.4,21.02,151.0,0.0
817:WA:SNTL,2019-02-11,39.9,21.6,19.4,143.0,0.0
817:WA:SNTL,2019-02-12,40.8,22.5,23.0,139.0,0.0
